OSF,SLF,VL,L,M,H,VH
VH,VL,"0,340","0,300","0,200","0,100","0,060"
VL,VL,"0,690","0,103","0,103","0,103","0,000"
VH,VH,"0,075","0,149","0,224","0,254","0,299"
VL,M,"0,079","0,132","0,395","0,263","0,132"
M,VL,"0,486","0,286","0,143","0,086","0,000"
