Domain,Ecosystem,Language,Expected_VL,Expected_L,Expected_M,Expected_H,Expected_VH,Calculated_VL,Calculated_L,Calculated_M,Calculated_H,Calculated_VH,Brier_Score
VL,VL,M,"0,2307692308","0,2615384615","0,3076923077","0,1538461538","0,04615384615",0.2637,0.3087,0.2458,0.1329,0.0490,0.0015
VH,M,VH,"0,05","0,08333333333","0,25","0,2833333333","0,3333333333",0.0270,0.0920,0.2110,0.3260,0.3440,0.0008
